X-axis,Y-axis
0.0,3.6546795867374433
1.0,3.6370755457533375
2.0,3.6199813422526184
3.0,3.603496883671773
4.0,3.5877220774472875
5.0,3.572756831015649
6.0,3.558701051813344
7.0,3.5456546472768595
8.0,3.5337175248426824
9.0,3.522989591947299
10.0,3.513570756027196
11.0,3.505560924518861
12.0,3.4990600048587797
13.0,3.494167904483439
14.0,3.490984530829326
15.0,3.4896097913329274
16.0,3.4901435934307297
17.0,3.4926858445592197
18.0,3.4973364521548844
19.0,3.5041953236542103
20.0,3.513362366493684
21.0,3.5249374881097926
22.0,3.5390205959390224
23.0,3.5557115974178606
24.0,3.5751103999827936
25.0,3.5973169110703083
26.0,3.622431038116891
27.0,3.650552688559029
28.0,3.681781769833209
29.0,3.7162181893759176
30.0,3.7539618546236415
31.0,3.7951126730128673
32.0,3.8397705519800818
33.0,3.8880353989617724
34.0,3.9400071213944248
35.0,3.995785626714526
36.0,4.055470822358563
37.0,4.119162615763023
38.0,4.186960914364391
39.0,4.258965625599156
40.0,4.335276656903804
41.0,4.415993915714821
42.0,4.501217309468693
43.0,4.5910467456019095
44.0,4.685582131550955
45.0,4.784923374752316
46.0,4.889170382642481
47.0,4.9984230626579365
48.0,5.112781322235167
49.0,5.232345068810661
50.0,5.3572142098209055
51.0,5.487488652702387
52.0,5.623268304891592
53.0,5.764653073825007
54.0,5.911742866939118
55.0,6.064637591670413
56.0,6.22343715545538
57.0,6.388241465730503
58.0,6.55915042993227
59.0,6.736263955497168
60.0,6.919681949861683
61.0,7.109504320462301
62.0,7.305830974735512
63.0,7.508761820117799
64.0,7.718396764045651
65.0,7.934835713955553
66.0,8.158178577283994
67.0,8.38852526146746
68.0,8.625975673942435
69.0,8.87062972214541
70.0,9.12258731351287
71.0,9.381948355481299
72.0,9.648812755487189
73.0,9.923280420967021
74.0,10.205451259357286
75.0,10.495425178094472
76.0,10.79330208461506
77.0,11.09918188635554
78.0,11.413164490752399
79.0,11.735349805242123
80.0,12.065837737261202
81.0,12.404728194246118
82.0,12.752121083633359
83.0,13.108116312859412
84.0,13.47281378936076
85.0,13.8463134205739
86.0,14.228715113935312
87.0,14.62011877688148
88.0,15.020624316848899
89.0,15.430331641274044
90.0,15.849340657593412
91.0,16.277751273243485
92.0,16.71566339566075
93.0,17.1631769322817
94.0,17.62039179054281
95.0,18.08740787788058
96.0,18.564325101731484
97.0,19.051243369532017
98.0,19.54826258871866
99.0,20.05548266672791
100.0,20.57300351099624
101.0,21.100925028960148
102.0,21.63934712805611
103.0,22.188369715720622
104.0,22.74809269939017
105.0,23.31861598650124
106.0,23.900039484490314
107.0,24.49246310079388
108.0,25.09598674284843
109.0,25.710710318090445
110.0,26.336733733956418
111.0,26.97415689788283
112.0,27.62307971730616
113.0,28.283602099662918
114.0,28.955823952389572
115.0,29.639845182922617
116.0,30.33576569869853
117.0,31.04368540715381
118.0,31.763704215724935
119.0,32.495922031848394
120.0,33.24043876296068
121.0,33.99735431649827
122.0,34.76676859989765
123.0,35.54878152059532
124.0,36.343492986027755
125.0,37.15100290363145
126.0,37.97141118084288
127.0,38.804817725098545
128.0,39.651322443834914
129.0,40.511025244488486
130.0,41.38402603449576
131.0,42.270424721293196
132.0,43.170321212317305
133.0,44.08381541500456
134.0,45.01100723679146
135.0,45.95199658511446
136.0,46.90688336741008
137.0,47.8757674911148
138.0,48.8587488636651
139.0,49.85592739249747
140.0,50.86740298504839
141.0,51.89327554875437
142.0,52.93364499105186
143.0,53.98861121937738
144.0,55.05827414116739
145.0,56.14273366385841
146.0,57.242089694886886
147.0,58.356442141689335
148.0,59.48589091170223
149.0,60.63053591236206
150.0,61.79047705110532
151.0,62.965814235368484
152.0,64.15664737258805
153.0,65.36307637020049
154.0,66.58520113564232
155.0,67.82312157634999
156.0,69.07693759976002
157.0,70.34674911330887
158.0,71.63265602443303
159.0,72.93475824056901
160.0,74.25315566915326
161.0,75.58794821762231
162.0,76.93923579341262
163.0,78.30711830396068
164.0,79.69169565670298
165.0,81.09306775907598
166.0,82.51133451851622
167.0,83.94659584246016
168.0,85.39895163834426
169.0,86.86850181360505
170.0,88.35534627567898
171.0,89.85958493200258
172.0,91.38131769001228
173.0,92.92064445714462
174.0,94.47766514083607
175.0,96.05247964852312
176.0,97.64518788764222
177.0,99.2558897656299
178.0,100.88468518992262
179.0,102.53167406795691
180.0,104.1969563071692
181.0,105.880631814996
182.0,107.58280049887381
183.0,109.30356226623908
184.0,111.04301702452837
185.0,112.80126468117808
186.0,114.57840514362475
187.0,116.37453831930486
188.0,118.18976411565488
189.0,120.02418244011132
190.0,121.87789320011063
191.0,123.75099630308934
192.0,125.64359165648389
193.0,127.55577916773082
194.0,129.48765874426658
195.0,131.43933029352766
196.0,133.41089372295056
197.0,135.40244893997178
198.0,137.41409585202774
199.0,139.445934366555
200.0,141.49806439099004
201.0,143.5705858327693
202.0,145.6635985993293
203.0,147.77720259810653
204.0,149.91149773653746
205.0,152.06658392205858
206.0,154.24256106210638
207.0,156.43952906411735
208.0,158.657587835528
209.0,160.89683728377472
210.0,163.15737731629414
211.0,165.43930784052264
212.0,167.74272876389676
213.0,170.06773999385297
214.0,172.4144414378277
215.0,174.78293300325754
216.0,177.17331459757892
217.0,179.58568612822836
218.0,182.0201475026423
